#{"t_start": 1775812281.8637247, "env_id": "None"}
r,l,t
-0.45,17,0.018037
-1.2,1,0.018648
-1.2,1,0.01925
-1.89,24,0.03156
-1.2,1,0.032218
-1.26,3,0.033854
-1.26,3,0.035538
-1.35,6,0.038659
-1.29,4,0.040843
-1.41,8,0.044988
-1.2,1,0.045638
-1.26,3,0.047198
-1.59,14,0.054427
-1.8,21,0.06499
-1.44,9,0.069595
-1.26,3,0.071218
-1.38,7,0.074852
-1.71,18,0.083933
-1.2,1,0.084599
-1.2,1,0.085173
-1.92,25,0.097825
-1.2,1,0.098425
-1.2,1,0.099083
-1.23,2,0.100179
-0.09,5,0.102964
-1.32,5,0.105664
-1.26,3,0.107234
-1.8,21,0.117966
-0.06,4,0.120216
-1.23,2,0.12132
-1.2,1,0.121927
-1.38,7,0.125606
-1.2,1,0.12623
-1.23,2,0.127394
-1.2,1,0.127973
-1.35,6,0.131116
-0.45,17,0.139869
-0.15,7,0.143608
-1.2,1,0.144196
-1.2,1,0.144789
-1.35,6,0.148009
-1.41,8,0.152164
-1.2,1,0.152779
-1.23,2,0.153863
-1.2,1,0.154548
-0.42,16,0.162688
-1.2,1,0.16328
-0.18,8,0.167509
-1.2,1,0.168156
-1.26,3,0.16978
-1.26,3,0.171409
-1.26,3,0.172993
0.0,2,0.174247
-1.26,3,0.175905
-1.35,6,0.178982
-1.23,2,0.180123
-1.56,13,0.186664
-0.3,12,0.193053
-1.2,1,0.19365
-1.2,1,0.194232
-1.32,5,0.196936
-1.26,3,0.198488
-1.2,1,0.199155
-1.35,6,0.202296
-1.2,1,0.202923
-1.53,12,0.209002
0.0,2,0.210233
-1.23,2,0.211332
-0.45,17,0.220197
-0.27,11,0.22592
-1.23,2,0.227091
-1.2,1,0.227661
-1.32,5,0.230299
-1.2,1,0.230945
-1.26,3,0.232504
-1.41,8,0.236587
-0.21,9,0.241611
-1.38,7,0.245215
-0.3,12,0.251458
-1.38,7,0.255072
-1.23,2,0.256267
-0.03,3,0.257962
-1.32,5,0.260606
-1.23,2,0.261678
-1.38,7,0.265398
-1.41,8,0.269575
-1.35,6,0.272661
-1.2,1,0.273306
-1.2,1,0.273929
-1.5,11,0.279585
-1.44,9,0.284212
-1.26,3,0.285896
-1.23,2,0.287036
-1.2,1,0.28762
-1.29,4,0.289747
-1.2,1,0.290415
-1.23,2,0.291558
-1.23,2,0.29272
-1.53,12,0.298888
-1.26,3,0.30046
-1.8,21,0.311219
-1.23,2,0.312305
-1.23,2,0.313462
-0.12,6,0.3168
-1.2,1,0.317415
-1.23,2,0.318558
-1.35,6,0.321671
-1.5,11,0.327301
-1.47,10,0.332525
-1.65,16,0.340719
-1.23,2,0.341814
-2.88,57,0.370508
-1.47,10,0.375788
0.81,16,0.384557
0.0,2,0.385733
-1.2,1,0.38638
-1.2,1,0.387028
-2.22,35,0.404607
-1.26,3,0.406238
-1.2,1,0.406884
-1.23,2,0.408046
0.0,2,0.40927
-0.09,5,0.411994
-1.71,18,0.421054
-1.2,1,0.421763
-1.2,1,0.422361
-1.44,9,0.427015
-1.23,2,0.428162
-1.44,9,0.43286
-1.38,7,0.436511
-1.53,12,0.44266
