#{"t_start": 1775819384.201737, "env_id": "None"}
r,l,t
-1.35,6,0.015924
-1.23,2,0.018238
0.0,2,0.020731
-1.35,6,0.027219
-1.32,5,0.032593
-1.23,2,0.034886
-1.29,4,0.039284
-1.23,2,0.041543
-1.62,15,0.057517
-1.56,13,0.071214
-0.33,13,0.085099
-1.23,2,0.087349
-1.32,5,0.092665
-1.2,1,0.093879
-0.03,3,0.097253
-1.32,5,0.102654
-1.56,13,0.116518
-1.23,2,0.11879
-0.06,4,0.123285
-1.2,1,0.124491
-1.2,1,0.12571
-1.23,2,0.127972
-1.23,2,0.130204
-1.26,3,0.133559
-1.2,1,0.134777
-1.2,1,0.13598
-1.26,3,0.139221
-1.23,2,0.141463
-1.62,15,0.157073
-1.26,3,0.160342
-1.26,3,0.163602
-1.2,1,0.16483
-1.23,2,0.167072
-1.23,2,0.169321
-1.53,12,0.181935
-1.32,5,0.187251
-1.23,2,0.18949
-1.71,18,0.20826
-1.32,5,0.213778
-1.2,1,0.214984
-1.26,3,0.218264
-1.38,7,0.225655
-0.06,4,0.230065
-1.47,10,0.240582
-0.42,16,0.25762
-1.26,3,0.260891
-1.23,2,0.263133
-1.2,1,0.26434
-1.23,2,0.266576
-1.26,3,0.269853
-1.2,1,0.271065
-1.98,27,0.299056
0.0,2,0.301378
-1.23,2,0.303658
-1.29,4,0.307956
-1.23,2,0.310194
-1.44,9,0.319851
-1.41,8,0.328386
-1.2,1,0.329607
-1.23,2,0.331892
-1.53,12,0.344758
-1.2,1,0.345975
-1.2,1,0.347179
-1.68,17,0.365076
-1.59,14,0.379671
-1.2,1,0.380897
-1.5,11,0.392434
-1.32,5,0.397765
-1.2,1,0.398976
-0.18,8,0.407673
-1.26,3,0.410967
-1.23,2,0.413187
-1.2,1,0.414402
-1.23,2,0.416632
-1.2,1,0.417855
-1.2,1,0.419061
-1.2,1,0.420268
-1.41,8,0.428698
-1.32,5,0.434019
-1.44,9,0.443522
-1.44,9,0.453084
-1.62,15,0.469116
-1.23,2,0.471383
-1.23,2,0.473623
-1.29,4,0.477936
-1.26,3,0.481203
-1.23,2,0.483429
-1.89,24,0.508401
-1.26,3,0.511661
-1.29,4,0.516009
-1.2,1,0.517225
-1.2,1,0.518432
-1.2,1,0.519653
-1.5,11,0.531382
-1.23,2,0.533626
-1.83,22,0.556597
-1.2,1,0.557832
-1.5,11,0.735635
-1.77,20,0.756572
-1.47,10,0.767099
-1.26,3,0.770376
-1.68,17,0.788176
-1.2,1,0.789382
-1.2,1,0.790594
-1.23,2,0.79285
-1.32,5,0.79821
-1.23,2,0.800459
-1.35,6,0.806854
-1.53,12,0.819467
-1.26,3,0.822756
-1.2,1,0.823968
-1.56,13,0.837575
-1.29,4,0.841913
-1.35,6,0.84829
-1.23,2,0.850537
-1.38,7,0.857941
-1.47,10,0.86847
-1.44,9,0.878
-1.41,8,0.886481
-0.3,12,0.899208
-1.2,1,0.900404
-1.38,7,0.907817
-1.23,2,0.910049
-1.35,6,0.916428
-1.2,1,0.917639
-1.23,2,0.919906
-1.26,3,0.923168
-0.03,3,0.926523
-2.13,32,0.959859
-1.65,16,0.976562
-0.24,10,0.987203
-1.8,21,1.009359
-1.32,5,1.014743
-1.2,1,1.015956
-1.23,2,1.018188
-1.23,2,1.020429
-1.26,3,1.023699
-1.23,2,1.025956
-1.32,5,1.031283
-1.2,1,1.032488
-1.53,12,1.045094
-1.2,1,1.046303
-1.26,3,1.049573
-1.32,5,1.054942
-1.23,2,1.057198
-1.56,13,1.070921
-1.26,3,1.074208
-2.1,31,1.106481
-0.3,12,1.119515
0.0,2,1.121852
-1.38,7,1.129246
-1.47,10,1.139754
-1.2,1,1.140965
-1.41,8,1.149443
-1.32,5,1.154814
-1.23,2,1.157042
-1.44,9,1.166513
-1.71,18,1.185306
-1.29,4,1.189607
-1.56,13,1.20325
-1.2,1,1.204458
-0.24,10,1.215005
-1.23,2,1.217236
-0.18,8,1.225884
-1.23,2,1.228118
-1.2,1,1.229326
-1.5,11,1.240864
-1.44,9,1.250342
-1.23,2,1.252587
-1.26,3,1.255852
-0.12,6,1.262447
-1.23,2,1.264676
-1.2,1,1.265894
-1.41,8,1.438423
-1.2,1,1.43966
-1.86,23,1.463984
-1.62,15,1.479934
-1.29,4,1.484267
-1.35,6,1.490629
-1.26,3,1.493919
-1.38,7,1.501312
-1.35,6,1.507712
-1.35,6,1.514127
-1.44,9,1.523608
-1.23,2,1.525877
-1.2,1,1.527084
-1.2,1,1.528285
-0.27,11,1.540203
-1.29,4,1.544538
0.0,2,1.546877
-1.26,3,1.550138
-1.2,1,1.551345
-1.2,1,1.552559
-1.2,1,1.553776
-1.35,6,1.560355
-1.47,10,1.570879
-1.26,3,1.574195
-1.23,2,1.576454
-1.2,1,1.577654
-0.03,3,1.581043
-1.26,3,1.584339
-1.41,8,1.592817
-1.65,16,1.609591
-1.29,4,1.613931
-1.2,1,1.615149
-1.26,3,1.61845
-1.29,4,1.622793
-1.5,11,1.634396
-1.23,2,1.636653
-1.23,2,1.638909
-1.23,2,1.641159
-1.35,6,1.647564
-1.38,7,1.655032
-1.26,3,1.65831
-1.41,8,1.666783
-1.2,1,1.667993
-0.3,12,1.680681
-1.2,1,1.681896
-0.06,4,1.686396
-1.26,3,1.689653
-1.47,10,1.700236
-1.59,14,1.714981
-1.29,4,1.719279
-1.53,12,1.731917
-1.29,4,1.736223
-1.35,6,1.742615
-0.15,7,1.750282
-1.29,4,1.754618
-1.29,4,1.75895
-1.26,3,1.762223
-1.23,2,1.764472
-1.35,6,1.770877
0.0,2,1.773213
-1.68,17,1.790982
-1.2,1,1.792185
0.0,2,1.79449
-1.29,4,1.798828
-1.35,6,1.805212
-1.92,25,1.831326
-1.47,10,1.841888
-1.35,6,1.848263
-1.41,8,1.856728
-1.2,1,1.857944
-1.26,3,1.861235
-1.26,3,1.864514
-1.2,1,1.865732
-0.09,5,1.871163
-0.03,3,1.874571
-1.38,7,1.881971
-1.29,4,1.886289
-1.32,5,1.891655
-1.23,2,1.893915
-1.38,7,1.901331
-1.35,6,1.907725
-1.35,6,1.91412
-1.23,2,1.916368
-1.29,4,1.920653
-1.38,7,1.928087
-1.2,1,1.929299
-1.2,1,1.9305
-1.44,9,1.939969
-1.23,2,1.942206
-0.21,9,1.951791
-1.29,4,1.956073
-1.35,6,1.962461
-1.23,2,1.964716
-1.23,2,1.96697
1.08,7,1.974625
-1.32,5,1.979987
-1.26,3,1.983274
