#{"t_start": 1775801401.3549445, "env_id": "None"}
r,l,t
-0.45,17,0.050025
-1.2,1,0.050746
-1.2,1,0.051341
-1.89,24,0.063938
-1.2,1,0.064609
-1.26,3,0.066222
-1.26,3,0.067974
-1.35,6,0.071384
-1.29,4,0.073695
-1.41,8,0.078001
-1.2,1,0.078677
-1.26,3,0.080388
-1.59,14,0.087742
-1.8,21,0.098434
-1.44,9,0.103179
-1.26,3,0.104935
-1.38,7,0.108657
-1.71,18,0.117584
-1.2,1,0.118318
-1.2,1,0.118921
-1.92,25,0.131604
-1.2,1,0.132178
-1.2,1,0.132809
-1.23,2,0.133896
-0.09,5,0.13682
-1.32,5,0.139456
-1.26,3,0.141134
-1.8,21,0.151868
-0.06,4,0.154135
-1.23,2,0.155207
-1.2,1,0.155784
-1.38,7,0.159434
-1.2,1,0.160092
-1.23,2,0.161231
-1.2,1,0.161828
-1.35,6,0.165051
-0.45,17,0.174044
-0.15,7,0.177724
-1.2,1,0.178326
-1.2,1,0.178891
-1.35,6,0.182041
-1.41,8,0.186118
-1.2,1,0.186692
-1.23,2,0.187884
-1.2,1,0.188586
-0.42,16,0.197048
-1.2,1,0.197637
-0.18,8,0.201893
-1.2,1,0.202535
-1.26,3,0.204165
-1.26,3,0.205799
-1.26,3,0.207367
0.0,2,0.208605
-1.26,3,0.210242
-1.35,6,0.213307
-1.23,2,0.214435
-1.56,13,0.221265
-0.3,12,0.227616
-1.2,1,0.228213
-1.2,1,0.228796
-1.32,5,0.231592
-1.26,3,0.23316
-1.2,1,0.233811
-1.35,6,0.236928
-1.2,1,0.237556
-1.53,12,0.243617
0.0,2,0.244828
-1.23,2,0.245931
-0.45,17,0.254673
-0.27,11,0.260295
-1.23,2,0.261432
-1.2,1,0.262013
-1.32,5,0.264637
-1.2,1,0.265267
-1.26,3,0.266817
-1.41,8,0.270905
-0.21,9,0.275823
-1.38,7,0.279349
-0.3,12,0.285462
-1.38,7,0.289087
-1.23,2,0.290253
-0.03,3,0.291937
-1.32,5,0.294517
-1.23,2,0.295595
-1.38,7,0.2992
-1.41,8,0.30328
-1.35,6,0.306324
-1.2,1,0.306942
-1.2,1,0.307591
-1.5,11,0.313139
-1.44,9,0.317681
-1.26,3,0.319285
-1.23,2,0.320432
-1.2,1,0.321033
-1.29,4,0.323131
-1.2,1,0.323744
-1.23,2,0.324878
-1.23,2,0.326011
-1.53,12,0.332025
-1.26,3,0.333578
-1.8,21,0.34399
-1.23,2,0.345059
-1.23,2,0.346181
-0.12,6,0.349452
-1.2,1,0.350076
-1.23,2,0.351198
-1.35,6,0.35421
-1.5,11,0.3598
-1.47,10,0.364918
-1.65,16,0.372892
-1.23,2,0.373963
-2.88,57,0.401971
-1.47,10,0.407175
0.81,16,0.415945
0.0,2,0.417112
-1.2,1,0.417761
-1.2,1,0.418395
-2.22,35,0.435628
-1.26,3,0.437209
-1.2,1,0.437858
-1.23,2,0.438994
0.0,2,0.440185
-0.09,5,0.443013
-1.71,18,0.452101
-1.2,1,0.452814
-1.2,1,0.453387
-1.44,9,0.457982
-1.23,2,0.459118
-1.44,9,0.463714
-1.38,7,0.467268
-1.53,12,0.473531
-0.12,6,0.476745
-1.71,18,0.485957
-1.2,1,0.486561
-1.2,1,0.487154
-1.65,16,0.495028
-1.35,6,0.498131
-2.01,28,0.511953
-1.23,2,0.513033
-0.21,9,0.517733
-1.44,9,0.52233
-1.23,2,0.523405
0.0,2,0.524594
-1.23,2,0.525678
-2.01,28,0.540223
-1.32,5,0.542787
-1.35,6,0.546026
-1.35,6,0.549127
-1.23,2,0.550345
-1.35,6,0.553501
-1.44,9,0.558277
-1.29,4,0.560414
-0.21,9,0.566284
-1.47,10,0.580715
-0.15,7,0.592039
-1.41,8,0.6041
-1.2,1,0.604777
-1.86,23,0.640046
-1.23,2,0.644879
-1.29,4,0.650957
-1.23,2,0.652255
-1.2,1,0.652855
-1.23,2,0.657681
-1.2,1,0.658273
-1.23,2,0.663048
-1.62,15,0.681511
0.0,2,0.686254
-1.38,7,0.697018
-1.74,19,0.720928
-1.56,13,0.742026
-1.2,1,0.742695
-1.23,2,0.7438
0.0,2,0.748724
-1.41,8,0.760024
-1.23,2,0.761133
-1.23,2,0.765816
-1.32,5,0.772031
-1.35,6,0.782206
-1.23,2,0.783344
-1.44,9,0.795021
-1.23,2,0.799722
-0.21,9,0.811518
-1.29,4,0.817188
-1.86,23,0.850532
-1.23,2,0.851713
-1.26,3,0.856863
0.0,2,0.861559
-1.59,14,0.879534
-1.23,2,0.884191
-1.2,1,0.884829
-1.26,3,0.889956
-1.2,1,0.890568
-1.26,3,0.895966
-1.2,1,0.896595
-1.26,3,0.901729
-1.77,20,0.929663
-1.2,1,0.930319
-1.2,1,0.930943
-1.2,1,0.931529
-1.35,6,0.941663
-0.33,13,0.959023
-1.38,7,0.969804
-0.03,3,0.975043
-1.26,3,0.976661
-1.32,5,0.986589
-1.89,24,1.02002
-1.32,5,1.026231
-0.36,14,1.044147
-1.29,4,1.049805
-0.24,10,1.065849
-1.2,1,1.066442
-1.23,2,1.071105
-1.26,3,1.072773
-1.2,1,1.076871
-1.44,9,1.088612
-1.59,14,1.106361
-1.23,2,1.111075
-1.35,6,1.117744
-1.29,4,1.123369
-0.12,6,1.133659
-0.06,4,1.139399
-0.18,8,1.150645
-0.18,8,1.161942
-1.41,8,1.173148
-1.32,5,1.179334
-1.32,5,1.185497
-1.86,23,1.218294
-0.09,5,1.224617
-0.06,4,1.23093
1.17,4,1.237209
-1.41,8,1.249102
-0.06,4,1.25537
-0.87,31,1.299786
-1.26,3,1.30491
-1.2,1,1.305526
-1.53,12,1.322241
-1.2,1,1.322927
-0.21,9,1.338397
-1.56,13,1.355718
0.0,2,1.356918
