#{"t_start": 1775802563.9683206, "env_id": "None"}
r,l,t
-1.26,3,0.049609
-1.2,1,0.050676
-1.83,22,0.071086
-1.41,8,0.081405
-1.38,7,0.087847
-1.32,5,0.092474
-1.26,3,0.095294
-1.26,3,0.098116
-1.2,1,0.099128
-1.29,4,0.102814
-1.53,12,0.115813
-1.23,2,0.117724
-1.26,3,0.120553
-1.2,1,0.121586
-1.2,1,0.122578
-1.2,1,0.123581
-1.32,5,0.128166
-1.29,4,0.131885
-1.29,4,0.135555
-1.2,1,0.13656
0.0,2,0.138574
-1.26,3,0.141383
-1.2,1,0.144383
-1.2,1,0.145391
-0.27,11,0.15552
-1.2,1,0.15655
-1.41,8,0.163986
-1.26,3,0.166898
-1.83,22,0.188932
-1.74,19,0.208821
-1.56,13,0.220769
-1.44,9,0.228954
-1.29,4,0.232646
-1.5,11,0.244732
-1.2,1,0.245729
-1.32,5,0.250396
-1.35,6,0.255863
-1.35,6,0.261346
-1.29,4,0.265067
-0.03,3,0.267944
-1.29,4,0.273668
-1.2,1,0.27468
-1.44,9,0.282824
-1.2,1,0.28383
-0.3,12,0.294795
-1.62,15,0.310364
-1.35,6,0.315854
-1.53,12,0.326691
-1.23,2,0.328587
-1.2,1,0.329594
-1.77,20,0.349622
-1.26,3,0.352416
-1.23,2,0.354311
-1.26,3,0.35711
-1.29,4,0.360776
-1.35,6,0.36824
-1.23,2,0.37015
-1.26,3,0.37293
-1.29,4,0.376648
-0.06,4,0.380399
-1.29,4,0.384094
-1.2,1,0.385089
-1.29,4,0.388778
-1.35,6,0.39625
-1.23,2,0.398196
-1.32,5,0.402781
-1.2,1,0.4038
-1.23,2,0.405721
-1.29,4,0.409413
-1.26,3,0.412205
-1.23,2,0.414114
-1.35,6,0.419606
-1.26,3,0.4224
-1.29,4,0.428059
-1.26,3,0.430866
-1.26,3,0.433673
-1.29,4,0.437364
-1.2,1,0.438373
-1.29,4,0.442098
-1.23,2,0.443996
-1.2,1,0.444995
-1.23,2,0.446881
-1.29,4,0.450583
-1.2,1,0.451573
-1.23,2,0.45348
-1.2,1,0.454476
-1.29,4,0.460123
-1.29,4,0.463845
-1.23,2,0.46576
-0.09,5,0.470451
-1.26,3,0.473249
-1.23,2,0.475163
-1.32,5,0.479767
-1.29,4,0.483486
-1.29,4,0.487183
-1.26,3,0.491948
-1.32,5,0.496601
-1.2,1,0.497608
-1.32,5,0.502191
-1.2,1,0.503178
-1.26,3,0.505959
-0.09,5,0.510724
-1.2,1,0.511733
-1.26,3,0.514529
-1.29,4,0.518219
-1.23,2,0.520128
-1.2,1,0.52112
-1.29,4,0.526809
-1.2,1,0.527817
1.08,7,0.5344
-1.23,2,0.536317
-1.29,4,0.540021
-1.2,1,0.541018
-1.26,3,0.543847
-1.29,4,0.547557
-1.29,4,0.551264
-1.2,1,0.552273
-1.26,3,0.557044
-1.2,1,0.558042
-1.32,5,0.562674
-1.32,5,0.567249
-1.23,2,0.569181
-0.06,4,0.572967
-1.23,2,0.574877
-1.32,5,0.579501
-1.29,4,0.583192
-1.38,7,0.591602
-1.23,2,0.593501
-1.32,5,0.598083
-1.23,2,0.600007
-1.2,1,0.601001
-1.2,1,0.602009
-1.26,3,0.604797
-1.23,2,0.606687
0.0,2,0.608666
-1.41,8,0.61597
-1.26,3,0.620743
-0.09,5,0.625557
-1.29,4,0.629287
-1.41,8,0.636578
-1.32,5,0.641163
-1.38,7,0.647533
-1.26,3,0.652319
-1.2,1,0.65331
-0.06,4,0.657142
-1.29,4,0.660825
-1.23,2,0.662721
-1.32,5,0.667374
-1.38,7,0.67378
-1.32,5,0.678356
-1.35,6,0.685796
-1.26,3,0.688569
-1.29,4,0.692262
-1.26,3,0.695035
-1.38,7,0.701453
