#{"t_start": 1775803203.1865678, "env_id": "None"}
r,l,t
-1.26,3,0.053627
-0.15,7,0.064194
-1.26,3,0.067144
-1.23,2,0.069105
-1.2,1,0.070139
-1.56,13,0.082455
-0.06,4,0.086344
-0.12,6,0.092115
-0.06,4,0.096019
-1.53,12,0.107172
-1.35,6,0.112762
-1.26,3,0.115602
-1.59,14,0.128478
-1.2,1,0.129484
-1.59,14,0.142309
-1.59,14,0.155277
-1.32,5,0.160038
-0.3,12,0.171217
-1.2,1,0.17225
-1.2,1,0.173284
-2.04,29,0.200015
-1.71,18,0.216585
-0.15,7,0.223134
-1.2,1,0.224156
-1.23,2,0.226099
-0.03,3,0.229028
-1.2,1,0.230058
-1.38,7,0.236545
-1.47,10,0.245749
-1.2,1,0.246775
-1.2,1,0.247793
-1.38,7,0.254266
-2.07,30,0.281746
-1.38,7,0.288254
-1.35,6,0.293884
-1.2,1,0.294902
-1.23,2,0.296832
-0.42,16,0.311607
-1.23,2,0.313535
-1.32,5,0.318237
-1.2,1,0.319238
-1.26,3,0.322089
-1.26,3,0.324955
-1.2,1,0.325981
-1.2,1,0.326987
-1.2,1,0.328013
-1.35,6,0.333592
-1.23,2,0.335512
-1.44,9,0.343881
-1.2,1,0.344902
-1.23,2,0.34682
-1.2,1,0.347818
-1.44,9,0.356142
-0.09,5,0.360948
-1.23,2,0.362874
-0.18,8,0.370476
-1.2,1,0.371497
-1.2,1,0.372516
-0.06,4,0.376337
-1.38,7,0.38291
-1.2,1,0.383926
-1.53,12,0.395164
-1.2,1,0.396196
-1.5,11,0.406476
-1.47,10,0.415706
-1.26,3,0.418559
-1.23,2,0.420503
-1.32,5,0.425184
-1.26,3,0.428023
-1.53,12,0.439122
-1.47,10,0.448344
-1.23,2,0.450288
-0.75,27,0.475163
-1.2,1,0.476187
-1.35,6,0.481762
0.0,2,0.483739
-0.27,11,0.494208
-1.44,9,0.502484
-1.23,2,0.504421
-1.26,3,0.50726
-1.2,1,0.508275
-1.23,2,0.510222
0.0,2,0.51219
-1.41,8,0.51958
0.6,23,0.540922
-1.2,1,0.541949
-1.35,6,0.547524
-0.12,6,0.553123
-1.2,1,0.554137
-1.2,1,0.555165
-1.32,5,0.559827
-1.29,4,0.563578
-0.21,9,0.571995
-1.32,5,0.576639
-1.2,1,0.577644
-0.03,3,0.580611
-1.2,1,0.581632
-0.21,9,0.590077
-1.23,2,0.592027
-1.2,1,0.593055
-1.26,3,0.595904
-1.2,1,0.596924
-1.29,4,0.600705
-1.29,4,0.604447
-1.41,8,0.611869
-1.2,1,0.612884
-1.23,2,0.614795
-1.26,3,0.61761
-1.23,2,0.619543
-1.26,3,0.622386
-1.23,2,0.624329
-1.2,1,0.625351
-1.62,15,0.639953
-1.35,6,0.645778
-1.23,2,0.647801
-1.2,1,0.648827
-1.23,2,0.650795
-0.12,6,0.656462
-1.38,7,0.663206
0.0,2,0.665235
-1.23,2,0.667168
-1.2,1,0.668199
-1.2,1,0.669202
-1.41,8,0.676616
-1.2,1,0.677633
-1.77,20,0.696001
-1.59,14,0.708889
-1.23,2,0.710984
-1.2,1,0.712041
-0.36,14,0.725019
-1.2,1,0.726056
-1.41,8,0.733429
-1.32,5,0.738091
-0.03,3,0.741074
0.0,2,0.743086
-1.2,1,0.744111
-1.47,10,0.753341
-1.35,6,0.758907
-1.26,3,0.761743
-1.29,4,0.76552
-0.15,7,0.772335
-1.53,12,0.783395
-1.59,14,0.79627
-1.26,3,0.799121
-1.38,7,0.805581
-1.26,3,0.808416
-1.2,1,0.809435
-1.2,1,0.81045
-0.33,13,0.822673
-1.2,1,0.82369
-1.47,10,0.832884
-1.23,2,0.834796
-1.44,9,0.843082
-1.38,7,0.84956
-1.56,13,0.861491
-1.2,1,0.862499
-1.38,7,0.86898
-0.03,3,0.871915
-1.23,2,0.873842
-1.5,11,0.883999
-1.2,1,0.885016
-1.29,4,0.888769
-1.2,1,0.889781
-1.23,2,0.891724
-1.41,8,0.899112
-1.23,2,0.901047
-1.41,8,0.908429
-1.2,1,0.909428
-1.2,1,0.910447
-1.35,6,0.916051
-1.2,1,0.91708
-1.38,7,0.923551
-1.2,1,0.924572
-1.8,21,0.943818
-1.23,2,0.945767
-0.33,13,0.957894
-1.29,4,0.961658
-1.26,3,0.96451
-0.03,3,0.967471
1.11,6,0.97335
-1.35,6,0.978933
-1.26,3,0.981778
-1.23,2,0.983711
-0.09,5,0.988472
-1.77,20,1.006851
-0.15,7,1.013599
-1.2,1,1.014621
-1.2,1,1.01564
-2.07,30,1.253809
-1.38,7,1.260314
-0.06,4,1.264162
-1.26,3,1.26703
-1.2,1,1.268059
-1.2,1,1.269078
-1.5,11,1.279152
-1.23,2,1.281112
-1.38,7,1.287588
-1.29,4,1.291328
-1.26,3,1.29418
-0.6,22,1.31436
-1.26,3,1.317196
-1.26,3,1.320077
-1.23,2,1.322026
-1.2,1,1.323039
-1.29,4,1.326812
-1.35,6,1.332376
-1.38,7,1.33884
-1.41,8,1.346212
-1.71,18,1.362691
-1.29,4,1.366436
-1.56,13,1.378362
-1.2,1,1.379386
-1.8,21,1.398584
-1.53,12,1.409589
-1.35,6,1.415177
-1.38,7,1.421642
-1.2,1,1.422642
-1.2,1,1.423658
-0.3,12,1.434803
-1.41,8,1.442182
-1.2,1,1.443208
-1.23,2,1.445119
-1.26,3,1.447952
-0.24,10,1.457204
-1.23,2,1.459137
-0.06,4,1.462951
-1.26,3,1.465791
-1.38,7,1.47223
-1.56,13,1.484256
-1.56,13,1.496176
-1.32,5,1.500839
-1.2,1,1.501862
-1.32,5,1.506545
-1.35,6,1.512107
-1.47,10,1.52131
-1.41,8,1.528681
-0.18,8,1.536258
-1.2,1,1.537275
-1.35,6,1.542834
-1.32,5,1.547498
-1.2,1,1.548509
-1.23,2,1.550446
-0.03,3,1.553395
-1.2,1,1.554419
-1.2,1,1.555442
-1.41,8,1.562818
-1.2,1,1.563821
-0.09,5,1.568575
-0.09,5,1.573446
-1.5,11,1.583546
-0.09,5,1.588415
-1.44,9,1.596733
-1.29,4,1.600522
-1.23,2,1.602448
-1.44,9,1.610735
-1.23,2,1.612661
-1.32,5,1.617369
-1.2,1,1.618374
-1.44,9,1.626626
-1.26,3,1.629517
-1.2,1,1.630521
-1.23,2,1.632437
-1.41,8,1.640228
-1.32,5,1.645069
-1.47,10,1.654317
-1.2,1,1.65534
-1.35,6,1.660941
-1.59,14,1.673878
-1.8,21,1.69313
-1.32,5,1.697785
-1.2,1,1.698874
-1.2,1,1.699906
-1.47,10,1.709087
-1.38,7,1.71566
-0.03,3,1.71864
-0.51,19,1.736202
-1.29,4,1.739961
0.96,11,1.750437
-1.29,4,1.754183
-1.23,2,1.756103
-1.23,2,1.758042
-1.2,1,1.759059
-1.32,5,1.763725
-1.32,5,1.768385
-1.2,1,1.769408
-0.06,4,1.773203
-1.2,1,1.774214
-1.2,1,1.775229
-1.59,14,1.78809
-1.2,1,1.789114
-1.56,13,1.801065
-1.98,27,1.825754
-1.29,4,1.829519
-1.5,11,1.839689
-1.2,1,1.840714
-1.26,3,1.843572
-1.26,3,1.846423
-1.74,19,1.86384
-1.29,4,1.867613
-1.41,8,1.875025
1.2,3,1.87799
-1.56,13,1.889928
-1.2,1,1.890935
-1.23,2,1.892886
-1.92,25,1.915716
-0.09,5,1.920455
-0.12,6,1.92612
-1.44,9,1.934442
-1.35,6,1.940034
-1.26,3,1.942902
-1.26,3,1.945743
0.0,2,1.947731
-1.41,8,1.955096
-1.35,6,1.960653
-1.2,1,1.961672
