#{"t_start": 1775810894.2372563, "env_id": "None"}
r,l,t
1.025,17,0.018752
-8.0,1,0.019379
-8.0,1,0.019989
-9.495,24,0.032148
-8.0,1,0.032823
-8.13,3,0.034458
-8.13,3,0.036088
-8.325,6,0.039171
-8.195,4,0.041307
-8.455,8,0.045392
-8.0,1,0.046032
-8.13,3,0.047586
-8.845,14,0.054647
-9.3,21,0.065138
-8.52,9,0.069715
-8.13,3,0.071327
-8.39,7,0.074961
-9.105,18,0.083946
-8.0,1,0.084588
-8.0,1,0.085175
-9.56,25,0.097687
-8.0,1,0.098258
-8.0,1,0.098893
-8.065,2,0.099971
1.805,5,0.10274
-8.26,5,0.105373
-8.13,3,0.106942
-9.3,21,0.117673
1.87,4,0.119951
-8.065,2,0.121034
-8.0,1,0.121623
-8.39,7,0.12521
-8.0,1,0.125836
-8.065,2,0.126957
-8.0,1,0.127525
-8.325,6,0.130655
1.025,17,0.139302
1.675,7,0.14295
-8.0,1,0.143545
-8.0,1,0.144117
-8.325,6,0.1473
-8.455,8,0.151374
-8.0,1,0.15197
-8.065,2,0.153047
-8.0,1,0.153715
1.09,16,0.161915
-8.0,1,0.162524
1.61,8,0.166688
-8.0,1,0.167308
-8.13,3,0.168923
-8.13,3,0.170523
-8.13,3,0.172087
2.0,2,0.173315
-8.13,3,0.174952
-8.325,6,0.178013
-8.065,2,0.179142
-8.78,13,0.185755
1.35,12,0.192086
-8.0,1,0.192696
-8.0,1,0.19328
-8.26,5,0.195912
-8.13,3,0.197493
-8.0,1,0.198098
-8.325,6,0.201175
-8.0,1,0.201813
-8.715,12,0.207835
2.0,2,0.209038
-8.065,2,0.210124
1.025,17,0.218909
1.415,11,0.224447
-8.065,2,0.225573
-8.0,1,0.226173
-8.26,5,0.228789
-8.0,1,0.229407
-8.13,3,0.230969
-8.455,8,0.235024
1.545,9,0.23996
-8.39,7,0.243484
1.35,12,0.249554
-8.39,7,0.253148
-8.065,2,0.25433
1.935,3,0.255999
-8.26,5,0.258639
-8.065,2,0.259726
-8.39,7,0.263341
-8.455,8,0.267431
-8.325,6,0.270504
-8.0,1,0.271115
-8.0,1,0.271742
-8.65,11,0.277339
-8.52,9,0.281875
-8.13,3,0.283486
-8.065,2,0.284617
-8.0,1,0.285197
-8.195,4,0.287264
-8.0,1,0.287874
-8.065,2,0.28899
-8.065,2,0.290093
-8.715,12,0.296199
-8.13,3,0.297761
-9.3,21,0.308336
-8.065,2,0.309427
-8.065,2,0.310554
1.74,6,0.313776
-8.0,1,0.314402
-8.065,2,0.315535
-8.325,6,0.318553
-8.65,11,0.324082
-8.585,10,0.329238
-8.975,16,0.337299
-8.065,2,0.338397
-11.64,57,0.366696
-8.585,10,0.371807
11.155,16,0.380492
2.0,2,0.381645
-8.0,1,0.38229
-8.0,1,0.382906
-10.21,35,0.400269
-8.13,3,0.40186
-8.0,1,0.402495
-8.065,2,0.403634
2.0,2,0.404806
1.805,5,0.407484
-9.105,18,0.416513
-8.0,1,0.417216
-8.0,1,0.417787
-8.52,9,0.422385
-8.065,2,0.423526
-8.52,9,0.428117
-8.39,7,0.431737
-8.715,12,0.437729
1.74,6,0.440925
-9.105,18,0.450015
-8.0,1,0.450599
-8.0,1,0.451195
-8.975,16,0.459191
-8.325,6,0.462346
-9.755,28,0.476139
-8.065,2,0.477231
1.545,9,0.481947
-8.52,9,0.486571
-8.065,2,0.487655
2.0,2,0.48884
-8.065,2,0.489949
-9.755,28,0.503847
-8.26,5,0.506469
-8.325,6,0.50956
-8.325,6,0.512621
-8.065,2,0.513805
-8.325,6,0.516842
-8.52,9,0.521444
-8.195,4,0.523527
1.545,9,0.529185
-8.585,10,0.542132
1.675,7,0.552997
-8.455,8,0.564419
-8.0,1,0.56508
-9.43,23,0.598097
-8.065,2,0.602749
-8.195,4,0.608427
-8.065,2,0.609601
-8.0,1,0.61019
-8.065,2,0.614848
-8.0,1,0.615441
-8.065,2,0.620144
-8.91,15,0.638544
2.0,2,0.643256
-8.39,7,0.654018
-9.17,19,0.678054
-8.78,13,0.698864
-8.0,1,0.6995
-8.065,2,0.700613
2.0,2,0.70535
-8.455,8,0.716576
-8.065,2,0.7177
-8.065,2,0.722379
-8.26,5,0.728607
