#{"t_start": 1775808545.3582988, "env_id": "None"}
r,l,t
0.0,17,0.080452
-1.2,1,0.081068
-1.2,1,0.08169
-1.2,24,0.093798
-1.2,1,0.094444
-1.2,3,0.096045
-1.2,3,0.097707
-1.2,6,0.10078
-1.2,4,0.102899
-1.2,8,0.10696
-1.2,1,0.107601
-1.2,3,0.109161
-1.2,14,0.116397
-1.2,21,0.126874
-1.2,9,0.131411
-1.2,3,0.13297
-1.2,7,0.136571
-1.2,18,0.145505
-1.2,1,0.146148
-1.2,1,0.146709
-1.2,25,0.159135
-1.2,1,0.159703
-1.2,1,0.160334
-1.2,2,0.161421
0.0,5,0.164155
-1.2,5,0.166738
-1.2,3,0.168307
-1.2,21,0.178787
0.0,4,0.181021
-1.2,2,0.182114
-1.2,1,0.182705
-1.2,7,0.186244
-1.2,1,0.186883
-1.2,2,0.188014
-1.2,1,0.188591
-1.2,6,0.191711
0.0,17,0.20031
0.0,7,0.20396
-1.2,1,0.204564
-1.2,1,0.205131
-1.2,6,0.208335
-1.2,8,0.212584
-1.2,1,0.21316
-1.2,2,0.214238
-1.2,1,0.214989
0.0,16,0.22333
-1.2,1,0.223972
0.0,8,0.228179
-1.2,1,0.228836
-1.2,3,0.230437
-1.2,3,0.232031
-1.2,3,0.233809
0.0,2,0.235036
-1.2,3,0.236743
-1.2,6,0.23997
-1.2,2,0.241092
-1.2,13,0.247765
0.0,12,0.254289
-1.2,1,0.254888
-1.2,1,0.255487
-1.2,5,0.258233
-1.2,3,0.259809
-1.2,1,0.260419
-1.2,6,0.263517
-1.2,1,0.264167
-1.2,12,0.270189
0.0,2,0.271387
-1.2,2,0.272466
0.0,17,0.281256
0.0,11,0.286886
-1.2,2,0.288002
-1.2,1,0.288592
-1.2,5,0.291199
-1.2,1,0.291812
-1.2,3,0.293356
-1.2,8,0.297431
0.0,9,0.302316
-1.2,7,0.305829
0.0,12,0.311909
-1.2,7,0.31546
-1.2,2,0.316634
0.0,3,0.318294
-1.2,5,0.320868
-1.2,2,0.321942
-1.2,7,0.325583
-1.2,8,0.329618
-1.2,6,0.332676
-1.2,1,0.333305
-1.2,1,0.333932
-1.2,11,0.339453
-1.2,9,0.343978
-1.2,3,0.345567
-1.2,2,0.346704
-1.2,1,0.347292
-1.2,4,0.349378
-1.2,1,0.349978
-1.2,2,0.351104
-1.2,2,0.352201
-1.2,12,0.358268
-1.2,3,0.359829
-1.2,21,0.370379
-1.2,2,0.371459
