#{"t_start": 1775809709.2085102, "env_id": "None"}
r,l,t
0.4,17,0.056494
-0.1,1,0.057127
-0.1,1,0.057707
-0.1,24,0.069647
-0.1,1,0.070295
-0.1,3,0.071887
-0.1,3,0.073525
-0.1,6,0.076591
-0.1,4,0.078706
-0.1,8,0.082695
-0.1,1,0.083326
-0.1,3,0.084872
-0.1,14,0.091896
-0.1,21,0.102305
-0.1,9,0.106768
-0.1,3,0.108361
-0.1,7,0.111939
-0.1,18,0.120976
-0.1,1,0.121586
-0.1,1,0.122203
-0.1,25,0.134497
-0.1,1,0.135074
-0.1,1,0.135694
-0.1,2,0.136777
0.3,5,0.139489
-0.1,5,0.142088
-0.1,3,0.143662
-0.1,21,0.154044
0.4,4,0.156225
-0.1,2,0.157298
-0.1,1,0.157876
-0.1,7,0.161445
-0.1,1,0.162081
-0.1,2,0.163199
-0.1,1,0.163755
-0.1,6,0.166848
0.3,17,0.175315
0.4,7,0.178987
-0.1,1,0.179549
-0.1,1,0.180141
-0.1,6,0.183186
-0.1,8,0.187177
-0.1,1,0.187742
-0.1,2,0.188806
-0.1,1,0.189485
0.4,16,0.197441
-0.1,1,0.198054
0.4,8,0.202131
-0.1,1,0.202735
-0.1,3,0.204361
-0.1,3,0.205922
-0.1,3,0.207412
0.4,2,0.208625
-0.1,3,0.210224
-0.1,6,0.213247
-0.1,2,0.21436
-0.1,13,0.220796
0.3,12,0.226972
-0.1,1,0.227556
-0.1,1,0.228127
-0.1,5,0.230698
-0.1,3,0.232247
-0.1,1,0.232869
-0.1,6,0.235879
-0.1,1,0.236491
-0.1,12,0.24254
0.3,2,0.24373
-0.1,2,0.24479
0.4,17,0.253607
0.4,11,0.259154
-0.1,2,0.260256
-0.1,1,0.2608
-0.1,5,0.263419
-0.1,1,0.264105
-0.1,3,0.265696
-0.1,8,0.269777
0.4,9,0.274757
-0.1,7,0.278247
0.4,12,0.284199
-0.1,7,0.287747
-0.1,2,0.2889
0.3,3,0.290534
-0.1,5,0.293149
-0.1,2,0.29419
-0.1,7,0.297765
-0.1,8,0.301754
-0.1,6,0.304812
-0.1,1,0.305432
-0.1,1,0.306076
-0.1,11,0.311557
-0.1,9,0.316001
-0.1,3,0.317583
-0.1,2,0.3187
-0.1,1,0.319262
-0.1,4,0.321344
-0.1,1,0.32199
-0.1,2,0.32311
-0.1,2,0.32422
-0.1,12,0.330178
-0.1,3,0.331707
-0.1,21,0.342085
-0.1,2,0.34315
-0.1,2,0.344279
0.3,6,0.347499
-0.1,1,0.348109
-0.1,2,0.34922
-0.1,6,0.352288
-0.1,11,0.357807
-0.1,10,0.362903
-0.1,16,0.370747
-0.1,2,0.371788
-0.1,57,0.399549
-0.1,10,0.40459
0.8,16,0.413165
0.3,2,0.414306
-0.1,1,0.414938
-0.1,1,0.415581
-0.1,35,0.432652
-0.1,3,0.43422
-0.1,1,0.434825
-0.1,2,0.435955
0.3,2,0.437166
0.3,5,0.439778
-0.1,18,0.448551
-0.1,1,0.449223
-0.1,1,0.449815
-0.1,9,0.454252
-0.1,2,0.455383
-0.1,9,0.459948
-0.1,7,0.463465
-0.1,12,0.469484
0.3,6,0.472614
-0.1,18,0.48154
-0.1,1,0.482126
-0.1,1,0.482683
-0.1,16,0.490555
-0.1,6,0.493669
-0.1,28,0.507481
-0.1,2,0.508542
0.4,9,0.513155
-0.1,9,0.517689
-0.1,2,0.518774
0.3,2,0.519958
-0.1,2,0.521049
-0.1,28,0.534779
-0.1,5,0.537313
-0.1,6,0.540357
-0.1,6,0.54335
-0.1,2,0.544529
-0.1,6,0.547554
-0.1,9,0.552117
-0.1,4,0.554182
0.3,9,0.559649
-0.1,10,0.572299
0.3,7,0.583069
-0.1,15,0.605215
-0.1,7,0.615988
-0.1,4,0.621641
-0.1,1,0.622256
-0.1,4,0.627903
-0.1,12,0.644723
-0.1,4,0.650437
0.3,13,0.667828
-0.1,1,0.668458
0.4,5,0.678263
0.4,6,0.684968
-0.1,2,0.689611
-0.1,4,0.695226
0.3,7,0.702565
-0.1,10,0.718244
-0.1,3,0.72335
-0.1,3,0.724972
0.4,5,0.734818
-0.1,8,0.746013
-0.1,1,0.746644
-0.1,3,0.751801
-0.1,5,0.758079
-0.1,3,0.763211
0.3,4,0.769071
-0.1,13,0.786448
-0.1,1,0.787117
-0.1,3,0.792256
-0.1,1,0.79284
-0.1,10,0.808551
-0.1,6,0.815426
-0.1,2,0.820077
-0.1,16,0.842382
-0.1,5,0.848584
-0.1,1,0.849221
0.3,30,0.892725
0.3,22,0.921858
0.4,7,0.933019
-0.1,11,0.949241
-0.1,4,0.954881
-0.1,3,0.956515
-0.1,34,1.005534
0.4,4,1.011389
-0.1,2,1.012589
-0.1,14,1.034178
-0.1,10,1.046386
-0.1,1,1.050584
0.3,3,1.052289
0.4,2,1.057059
-0.1,6,1.063707
-0.1,1,1.067835
0.9,6,1.074663
-0.1,3,1.079809
-0.1,1,1.08043
-0.1,18,1.107298
-0.1,2,1.108445
