#{"t_start": 1775812070.2893043, "env_id": "None"}
r,l,t
-46.5,17,0.061179
-50.0,1,0.062207
-50.0,1,0.063033
-47.7,24,0.075609
-50.0,1,0.07625
-49.8,3,0.077876
-49.8,3,0.079508
-49.5,6,0.082582
-49.7,4,0.08471
-49.3,8,0.0888
-50.0,1,0.089425
-49.8,3,0.090971
-48.7,14,0.098122
-48.0,21,0.108717
-49.2,9,0.113335
-49.8,3,0.114929
-49.4,7,0.118589
-48.3,18,0.127637
-50.0,1,0.128263
-50.0,1,0.128837
-47.6,25,0.141331
-50.0,1,0.1419
-50.0,1,0.142547
-49.9,2,0.143639
-47.7,5,0.146372
-49.6,5,0.149016
-49.8,3,0.150554
-48.0,21,0.16106
-47.8,4,0.163328
-49.9,2,0.164405
-50.0,1,0.164995
-49.4,7,0.168545
-50.0,1,0.169155
-49.9,2,0.170297
-50.0,1,0.17089
-49.5,6,0.173986
-46.5,17,0.182596
-47.5,7,0.186356
-50.0,1,0.186933
-50.0,1,0.187522
-49.5,6,0.19063
-49.3,8,0.194695
-50.0,1,0.195302
-49.9,2,0.196377
-50.0,1,0.197028
-46.6,16,0.205037
-50.0,1,0.205647
-47.4,8,0.209771
-50.0,1,0.2104
-49.8,3,0.211986
-49.8,3,0.213623
-49.8,3,0.215229
-48.0,2,0.21644
-49.8,3,0.21806
-49.5,6,0.22114
-49.9,2,0.222264
-48.8,13,0.228825
-47.0,12,0.235161
-50.0,1,0.235735
-50.0,1,0.236335
-49.6,5,0.23904
-49.8,3,0.240635
-50.0,1,0.241266
-49.5,6,0.244315
-50.0,1,0.24495
-48.9,12,0.250975
-48.0,2,0.252179
-49.9,2,0.253278
-46.5,17,0.261994
-47.1,11,0.267654
-49.9,2,0.268776
-50.0,1,0.269378
-49.6,5,0.272032
-50.0,1,0.272673
-49.8,3,0.27422
-49.3,8,0.278231
-47.3,9,0.28314
-49.4,7,0.28672
-47.0,12,0.292864
-49.4,7,0.296454
-49.9,2,0.297638
-47.9,3,0.299316
-49.6,5,0.301968
-49.9,2,0.303064
-49.4,7,0.306747
-49.3,8,0.310802
-49.5,6,0.313887
-50.0,1,0.314518
-50.0,1,0.31514
-49.0,11,0.320727
-49.2,9,0.3253
-49.8,3,0.327217
-49.9,2,0.328343
-50.0,1,0.32891
-49.7,4,0.33101
-50.0,1,0.331639
-49.9,2,0.332758
-49.9,2,0.333894
-48.9,12,0.339959
-49.8,3,0.341567
-48.0,21,0.35219
-49.9,2,0.353276
-49.9,2,0.354388
-47.6,6,0.357656
-50.0,1,0.35831
-49.9,2,0.359434
-49.5,6,0.362519
-49.0,11,0.368095
-49.1,10,0.373251
-48.5,16,0.381228
-49.9,2,0.382294
-44.4,57,0.410466
-49.1,10,0.415652
-44.7,16,0.424333
-48.0,2,0.425506
-50.0,1,0.426155
-50.0,1,0.426801
-46.6,35,0.44418
-49.8,3,0.445746
-50.0,1,0.446383
-49.9,2,0.447518
-48.0,2,0.448706
-47.7,5,0.451412
-48.3,18,0.460305
-50.0,1,0.460994
-50.0,1,0.461583
-49.2,9,0.466162
-49.9,2,0.467284
-49.2,9,0.471931
-49.4,7,0.475522
-48.9,12,0.481555
-47.6,6,0.484751
-48.3,18,0.49396
-50.0,1,0.494548
-50.0,1,0.495101
-48.5,16,0.503237
-49.5,6,0.506415
-47.3,28,0.52035
-49.9,2,0.521438
-47.3,9,0.526218
-49.2,9,0.530942
-49.9,2,0.532041
-48.0,2,0.533248
-49.9,2,0.534337
-47.3,28,0.548296
-49.6,5,0.550878
-49.5,6,0.553974
-49.5,6,0.557039
-49.9,2,0.558245
-49.5,6,0.561352
-49.2,9,0.565967
-49.7,4,0.568067
-47.3,9,0.573593
-49.0,11,0.59079
-47.7,5,0.597291
-49.9,2,0.598407
-50.0,1,0.602715
-47.8,23,0.632606
-50.0,1,0.63676
-50.0,1,0.637396
-49.9,2,0.638539
-50.0,1,0.642672
-49.8,3,0.644316
-49.7,4,0.650141
-49.3,8,0.661419
-47.9,22,0.695409
-47.2,10,0.708467
-49.5,6,0.718917
-49.5,6,0.725741
-50.0,1,0.729908
-50.0,1,0.730524
-49.7,4,0.73626
-47.2,10,0.749126
-49.4,7,0.759889
-50.0,1,0.760493
-49.5,6,0.770799
-49.0,11,0.787123
-50.0,1,0.787749
-49.7,4,0.793658
-50.0,1,0.794272
-49.7,4,0.799999
-49.7,4,0.805682
-49.3,8,0.817337
-46.8,14,0.839122
-49.9,2,0.840336
-49.6,5,0.846886
-49.5,6,0.857294
-50.0,1,0.857902
-48.9,12,0.874776
-49.5,6,0.884995
-49.2,9,0.896731
-47.0,12,0.913662
-49.9,2,0.914861
-50.0,1,0.918978
-49.8,3,0.920619
-50.0,1,0.924719
-50.0,1,0.925375
-48.0,21,0.954158
-50.0,1,0.954761
-50.0,1,0.958873
-50.0,1,0.959559
-49.4,7,0.970264
-50.0,1,0.970872
-44.9,33,1.016437
-48.3,18,1.043793
-49.4,7,1.051286
-49.7,4,1.057197
-47.6,6,1.067748
-49.9,2,1.068935
-50.0,1,1.07305
-50.0,1,1.073683
-49.8,3,1.078796
-49.4,7,1.086379
-49.9,2,1.091037
-49.2,9,1.102975
-50.0,1,1.103599
-49.6,5,1.113895
-46.1,40,1.170332
-48.6,15,1.189062
-48.0,2,1.193796
-50.0,1,1.194466
-49.5,6,1.204654
-50.0,1,1.205282
-47.6,6,1.21205
-49.2,9,1.227578
-49.4,7,1.23481
-49.9,2,1.239489
-45.6,26,1.274188
-49.8,3,1.279394
-47.9,22,1.312491
-46.7,15,1.331326
-49.9,2,1.335967
-47.0,12,1.353031
-46.9,13,1.371064
-49.6,5,1.377267
-49.2,9,1.3925
-46.6,16,1.415617
-50.0,1,1.416252
-47.5,7,1.427491
-46.6,16,1.450313
-50.0,1,1.450991
-47.9,3,1.456263
-49.0,11,1.468992
-47.3,9,1.48452
-48.1,20,1.512759
-49.5,6,1.5196
-48.8,13,1.536917
-49.3,8,1.548295
-49.0,11,1.564686
-49.5,6,1.575097
-48.4,17,1.598006
-47.8,4,1.603771
-49.6,5,1.610027
-49.3,8,1.6212
-47.8,4,1.627173
-47.5,7,1.638109
-49.7,4,1.643848
-47.2,10,1.656352
-49.4,7,1.667049
-49.8,3,1.672225
-49.9,2,1.673391
-48.9,12,1.690341
-49.8,3,1.695462
-47.9,3,1.700728
-49.8,3,1.70637
-49.7,4,1.712432
-48.3,18,1.736639
-47.5,7,1.74773
-49.2,9,1.759979
-49.9,2,1.764689
-50.0,1,1.765332
-50.0,1,1.765924
-49.6,5,1.772373
-49.3,8,1.783946
-47.3,28,1.823095
-49.5,6,1.83355
-49.3,8,1.845199
-47.4,8,1.856694
-49.9,2,1.857816
-50.0,1,1.861913
-47.5,7,1.8693
-50.0,1,1.873404
-49.5,6,1.880053
-49.8,3,1.885208
-49.7,4,1.891145
-50.0,1,1.891725
-50.0,1,1.892345
-47.5,7,1.903174
-48.7,14,1.924725
-49.7,4,1.930412
-47.6,25,1.965058
-50.0,1,1.965665
-46.4,37,2.017731
-50.0,1,2.021885
-47.5,7,2.029493
-50.0,1,2.033594
-49.2,9,2.045446
-49.9,2,2.046747
-49.3,8,2.057994
-48.0,2,2.062753
-49.4,7,2.073863
-48.7,14,2.091909
-45.9,4,2.097988
-48.0,2,2.102838
-46.2,39,2.155835
-50.0,1,2.159972
-50.0,1,2.160591
-47.8,4,2.166672
-47.5,7,2.17757
-49.6,5,2.183801
-48.9,12,2.20097
-48.5,16,2.223946
-47.9,22,2.253494
-49.4,7,2.264536
-50.0,1,2.265159
-47.9,3,2.270418
-50.0,1,2.271064
-50.0,1,2.275213
-48.5,16,2.298223
-49.0,11,2.311215
-49.9,2,2.315924
-49.8,3,2.321071
-49.6,5,2.327302
-49.9,2,2.328622
-48.8,13,2.350343
-47.3,28,2.390394
-49.6,5,2.396864
-50.0,1,2.397465
-47.6,6,2.408048
-50.0,1,2.408684
-47.4,8,2.420221
-49.2,9,2.432198
-48.0,21,2.461947
-49.8,3,2.467141
-46.9,13,2.48509
-49.8,3,2.49025
-49.3,8,2.50213
-48.5,16,2.524998
-48.9,12,2.54227
-49.9,2,2.546912
-49.5,6,2.554085
-50.0,1,2.55472
-49.5,6,2.565095
-46.7,15,2.587426
-49.3,8,2.59926
-49.2,9,2.611645
-49.7,4,2.617394
-47.5,7,2.62853
-50.0,1,2.6292
-47.9,3,2.634686
-47.7,24,2.668797
-49.8,3,2.67046
-48.0,2,2.675213
-50.0,1,2.675818
-48.0,21,2.704904
-49.7,4,2.711453
-48.0,21,2.745634
-50.0,1,2.746291
-48.5,16,2.769132
-48.2,19,2.796863
-49.9,2,2.798259
-49.0,11,2.814741
-46.3,19,2.843472
-48.6,15,2.862111
-50.0,1,2.866308
-49.7,4,2.87217
-49.9,2,2.873495
-49.7,4,2.879321
-48.5,16,2.902036
-49.9,2,2.906718
-47.5,7,2.914536
-47.2,10,2.930799
-50.0,1,2.931457
-50.0,1,2.932065
-47.5,7,2.942947
-47.6,6,2.953357
-45.4,28,2.993963
-48.9,12,3.01109
-47.8,23,3.041137
-49.9,2,3.045793
-49.1,10,3.058401
-47.1,11,3.075692
-49.9,2,3.080351
-50.0,1,3.080983
-46.8,14,3.099419
-49.9,2,3.104079
-47.9,22,3.134238
-49.6,5,3.144138
-48.5,16,3.166992
-49.2,9,3.179198
-47.4,8,3.191175
-47.8,4,3.196961
-49.3,8,3.208501
-49.2,9,3.220768
-48.9,12,3.238195
-49.5,6,3.248844
-48.9,12,3.265933
-48.5,16,3.289352
-48.8,13,3.307362
-49.0,11,3.324292
-48.6,15,3.343369
-49.5,6,3.353596
-49.8,3,3.358919
-49.8,3,3.36059
-49.1,10,3.37687
-47.1,11,3.39406
-49.2,9,3.406112
-47.5,7,3.416975
-50.0,1,3.41764
-49.4,7,3.428931
-50.0,1,3.429548
-49.5,6,3.436285
-49.5,6,3.446643
-49.7,4,3.452717
