#{"t_start": 1775805504.1320584, "env_id": "None"}
r,l,t
-0.03,3,0.011345
-1.23,2,0.013589
-1.2,1,0.01479
-1.5,11,0.026178
-1.29,4,0.030433
-1.2,1,0.031637
-1.23,2,0.033859
-1.2,1,0.035063
-1.23,2,0.037293
-0.03,3,0.040709
-1.26,3,0.043972
-1.2,1,0.045179
-1.2,1,0.046388
-1.29,4,0.050748
-0.12,6,0.057547
-1.26,3,0.060797
-1.23,2,0.062998
-1.83,22,0.085279
-1.2,1,0.086474
-1.35,6,0.092704
-1.32,5,0.097913
-1.23,2,0.1001
-1.2,1,0.101291
-1.26,3,0.10453
-1.29,4,0.108715
-1.23,2,0.11091
-1.74,19,0.130151
-1.2,1,0.131343
-1.32,5,0.136527
-1.2,1,0.13771
-1.23,2,0.139905
-1.2,1,0.141089
-1.2,1,0.142269
-1.32,5,0.14756
-1.47,10,0.157888
-1.86,23,0.181099
-0.09,5,0.186482
-1.26,3,0.18969
-1.23,2,0.191894
-1.29,4,0.19609
-1.2,1,0.197275
-1.2,1,0.198462
-1.26,3,0.201668
-1.2,1,0.202851
-1.53,12,0.215103
-1.89,24,0.239438
-1.53,12,0.25176
-1.2,1,0.252957
-0.42,16,0.269349
-0.12,6,0.275667
-1.26,3,0.278856
-0.03,3,0.282135
-1.62,15,0.297351
-1.29,4,0.301564
-1.2,1,0.302749
-0.3,12,0.315006
-1.29,4,0.319189
-1.41,8,0.327398
-1.23,2,0.329585
-1.26,3,0.332765
-1.23,2,0.334948
-1.5,11,0.346115
-1.29,4,0.350321
-1.26,3,0.353527
-0.18,8,0.361941
-1.38,7,0.369148
-0.24,10,0.379444
-1.2,1,0.380637
-1.65,16,0.396868
-1.23,2,0.399043
-1.74,19,0.418266
-1.65,16,0.43469
-1.29,4,0.438903
-1.23,2,0.441101
-1.29,4,0.445321
-1.41,8,0.453547
-0.42,16,0.470018
-1.5,11,0.481306
-1.41,8,0.48969
-0.09,5,0.495091
-1.32,5,0.500266
-1.41,8,0.508476
-1.23,2,0.510675
-1.23,2,0.512854
-0.21,9,0.522417
-1.53,12,0.534648
-1.26,3,0.537832
-1.59,14,0.598139
-1.26,3,0.601343
-1.65,16,0.617668
-1.23,2,0.619867
-1.2,1,0.62105
-1.29,4,0.625221
-1.2,1,0.626417
-1.26,3,0.629626
-1.32,5,0.634871
-1.2,1,0.636056
-1.2,1,0.637243
-1.35,6,0.643479
-1.35,6,0.64972
-1.23,2,0.651926
-1.38,7,0.659158
-1.35,6,0.665346
-1.29,4,0.669552
-1.44,9,0.678775
-1.41,8,0.687003
-1.44,9,0.696242
-1.23,2,0.698437
-1.35,6,0.704688
-1.44,9,0.713934
0.0,2,0.716223
-1.23,2,0.718429
-1.53,12,0.730741
-1.26,3,0.733952
-1.5,11,0.745232
-0.48,18,0.763623
-1.23,2,0.765826
-1.2,1,0.767014
-0.33,13,0.780473
-1.65,16,0.796827
-1.23,2,0.799021
-1.47,10,0.80926
-1.35,6,0.815516
-1.26,3,0.818727
-1.23,2,0.82092
-1.62,15,0.836191
-1.2,1,0.837387
-1.35,6,0.843588
-1.35,6,0.849851
-1.35,6,0.856112
-1.26,3,0.859306
-1.32,5,0.864533
-1.2,1,0.865716
-1.23,2,0.867915
-1.23,2,0.870097
-1.23,2,0.872291
-1.59,14,0.88659
-1.32,5,0.891825
-1.59,14,0.906074
-1.23,2,0.908258
-1.29,4,0.912473
-1.32,5,0.917685
-0.03,3,0.920968
-1.26,3,0.924185
-1.23,2,0.926379
-1.26,3,0.929586
-1.26,3,0.932772
-1.2,1,0.93397
0.0,2,0.93623
0.75,18,0.95519
-0.06,4,0.959481
-1.26,3,0.962705
-1.2,1,0.963892
-1.71,18,0.982198
-1.53,12,0.994471
-1.47,10,1.004714
-1.23,2,1.006918
-1.23,2,1.00912
-1.2,1,1.010313
-1.23,2,1.012535
-0.42,16,1.029004
-1.5,11,1.040215
-1.26,3,1.043421
-1.59,14,1.057785
-1.23,2,1.060033
-1.2,1,1.061243
0.0,2,1.063652
-0.03,3,1.066934
-1.59,14,1.081208
-1.62,15,1.096528
-1.23,2,1.098727
-0.21,9,1.108115
-1.2,1,1.109303
-1.2,1,1.110499
-0.3,12,1.168337
-1.26,3,1.171659
-1.62,15,1.187014
-1.5,11,1.198294
-1.56,13,1.211626
-1.35,6,1.217857
-1.41,8,1.226228
-1.29,4,1.230494
-1.35,6,1.23677
-1.38,7,1.244016
-1.26,3,1.247222
-2.28,37,1.284762
-1.26,3,1.287952
-1.68,17,1.305314
-1.23,2,1.307525
-1.29,4,1.311743
-1.2,1,1.312937
-1.2,1,1.314133
-1.35,6,1.320393
-1.23,2,1.322612
-1.2,1,1.323799
-1.23,2,1.32601
-1.71,18,1.344427
-1.2,1,1.345625
-1.2,1,1.346816
-1.2,1,1.348011
-0.42,16,1.364529
-1.23,2,1.366729
-1.2,1,1.36792
-0.6,22,1.390347
-1.47,10,1.400632
-0.06,4,1.404994
-1.29,4,1.409222
-1.23,2,1.411443
-1.47,10,1.421748
-1.35,6,1.427983
-1.23,2,1.430187
-1.2,1,1.431384
-1.2,1,1.432577
-1.23,2,1.434783
-1.29,4,1.438995
-1.23,2,1.44118
-1.47,10,1.451444
-1.26,3,1.454743
-1.23,2,1.456936
-1.29,4,1.461129
-0.03,3,1.464419
-0.24,10,1.475043
-1.35,6,1.481417
-1.56,13,1.495015
-2.1,31,1.526595
-1.23,2,1.528788
-1.38,7,1.536046
-1.2,1,1.537246
-1.35,6,1.543455
-1.2,1,1.544642
-1.26,3,1.547842
-0.03,3,1.551099
-1.32,5,1.55633
0.0,2,1.558611
-1.38,7,1.565854
-1.53,12,1.578145
-1.62,15,1.593457
-1.44,9,1.602714
-1.26,3,1.605932
-1.59,14,1.620188
-1.23,2,1.622392
-1.2,1,1.623583
-1.77,20,1.643818
-1.29,4,1.648041
-1.74,19,1.667349
-0.21,9,1.676644
-1.32,5,1.681838
-1.29,4,1.686044
-1.86,23,1.755021
-1.23,2,1.757233
-1.29,4,1.761444
-1.26,3,1.764656
-1.32,5,1.769861
-1.47,10,1.780166
-1.32,5,1.785381
-1.2,1,1.786566
-1.68,17,1.803888
-1.2,1,1.805079
-1.2,1,1.806269
-1.2,1,1.807468
-1.26,3,1.810698
-1.29,4,1.814907
-1.98,27,1.842284
-1.47,10,1.852581
-1.23,2,1.854771
-1.2,1,1.855953
-1.32,5,1.861169
-1.44,9,1.870443
-1.38,7,1.877687
-0.18,8,1.886251
-1.5,11,1.897522
-1.32,5,1.902748
-1.62,15,1.918072
-1.2,1,1.919261
-1.26,3,1.92247
-1.26,3,1.925692
-0.09,5,1.931099
-1.23,2,1.93329
-1.26,3,1.936527
-2.49,44,1.98098
-1.2,1,1.982177
-1.32,5,1.987399
-0.39,15,2.002986
-1.23,2,2.005179
-0.06,4,2.009536
-1.5,11,2.020779
-1.23,2,2.02299
-1.2,1,2.024176
-1.44,9,2.033425
-1.26,3,2.036669
-0.24,10,2.04702
-1.23,2,2.049229
-1.5,11,2.060515
-2.16,33,2.093842
-1.35,6,2.100075
-1.23,2,2.10227
-1.56,13,2.115527
-1.23,2,2.117718
-0.03,3,2.120977
-1.23,2,2.123164
-1.26,3,2.126388
-0.21,9,2.135764
-1.71,18,2.154074
-1.2,1,2.155266
-0.21,9,2.164633
-1.23,2,2.166824
-1.44,9,2.176072
-1.26,3,2.179285
-1.23,2,2.181494
-1.2,1,2.182678
-1.77,20,2.203393
-1.5,11,2.21482
-1.2,1,2.216025
-1.32,5,2.221241
-1.89,24,2.245655
-1.32,5,2.250873
-1.23,2,2.25308
-1.5,11,2.264349
-1.35,6,2.270591
-1.62,15,2.33129
-1.5,11,2.342618
-1.44,9,2.351869
-1.65,16,2.368173
-1.2,1,2.369359
-1.41,8,2.377582
-1.23,2,2.3798
-1.41,8,2.388041
-0.12,6,2.394346
-1.2,1,2.395548
0.0,2,2.397805
0.0,2,2.400068
-1.26,3,2.403288
-1.23,2,2.405493
-1.23,2,2.407709
-1.74,19,2.427071
-1.23,2,2.429284
-1.26,3,2.432495
-1.41,8,2.440775
-1.5,11,2.452041
-1.2,1,2.453229
-1.2,1,2.454425
-1.35,6,2.460653
-1.65,16,2.477139
-1.38,7,2.484499
-1.2,1,2.485715
-1.23,2,2.487968
-1.47,10,2.498428
-1.2,1,2.49963
-1.2,1,2.500823
-1.2,1,2.502021
-1.2,1,2.503214
-0.27,11,2.514768
-1.29,4,2.518993
-0.15,7,2.526299
-1.38,7,2.53359
-0.18,8,2.54194
-1.2,1,2.543134
0.0,2,2.545423
-1.5,11,2.556746
-1.23,2,2.558962
-1.41,8,2.567214
-1.2,1,2.568409
-1.2,1,2.569604
-1.47,10,2.579885
-1.23,2,2.582091
-0.27,11,2.593616
-1.2,1,2.594809
0.0,2,2.597068
-1.29,4,2.60129
-1.56,13,2.614598
-1.98,27,2.641919
-1.47,10,2.652225
-1.38,7,2.65946
-1.59,14,2.673725
-1.29,4,2.677935
-1.35,6,2.684194
-0.33,13,2.697597
-1.32,5,2.702806
-1.2,1,2.703999
-1.59,14,2.718241
-0.06,4,2.722488
-1.47,10,2.732777
-1.44,9,2.742039
0.0,2,2.744284
-1.32,5,2.749501
-0.18,8,2.757815
-1.2,1,2.759013
-1.32,5,2.764214
-0.06,4,2.768523
-1.23,2,2.770716
-1.35,6,2.776909
-1.41,8,2.785178
-1.29,4,2.789392
-1.29,4,2.793601
-0.06,4,2.797856
-0.24,10,2.80816
-1.26,3,2.811354
-1.29,4,2.815566
-1.29,4,2.819787
-1.35,6,2.82601
-0.06,4,2.830349
-1.29,4,2.834576
-1.2,1,2.835757
1.08,7,2.843257
-0.3,12,2.855666
-0.3,12,2.913717
-1.23,2,2.915905
-1.74,19,2.935207
0.0,2,2.937509
-0.06,4,2.941824
-1.41,8,2.950075
-1.35,6,2.956291
1.08,7,2.963803
-1.2,1,2.964992
-1.2,1,2.966177
-1.41,8,2.974415
0.87,14,2.989224
-0.24,10,2.999579
-1.2,1,3.00077
-1.92,25,3.026129
-1.77,20,3.046481
-0.24,10,3.056823
-1.23,2,3.059014
-1.35,6,3.065225
-0.09,5,3.070574
-1.38,7,3.077807
0.0,2,3.080099
-0.03,3,3.083399
-1.26,3,3.086582
-1.32,5,3.091771
-1.23,2,3.093966
-1.26,3,3.097192
-1.38,7,3.104397
-1.2,1,3.105587
-1.38,7,3.112841
-1.23,2,3.115056
-1.29,4,3.11923
-0.03,3,3.122514
-1.2,1,3.123717
-0.51,19,3.143166
-1.38,7,3.150382
-2.28,37,3.188095
-1.23,2,3.190293
-1.26,3,3.193533
-1.35,6,3.199762
-1.26,3,3.202959
-0.03,3,3.206261
-1.2,1,3.207451
-0.78,28,3.236112
-1.38,7,3.243402
-0.78,28,3.271903
-1.2,1,3.27309
-1.32,5,3.27831
-0.6,22,3.300751
-1.2,1,3.301939
-1.5,11,3.313217
-1.44,9,3.322494
-1.29,4,3.326682
-1.32,5,3.331899
-0.03,3,3.335233
-0.09,5,3.340598
-0.24,10,3.350962
-1.2,1,3.352148
-1.56,13,3.36545
-1.29,4,3.369673
-1.26,3,3.372887
-1.68,17,3.390211
-1.26,3,3.393423
-1.2,1,3.394624
-1.65,16,3.410782
-0.33,13,3.424175
-1.2,1,3.42538
0.63,22,3.493918
-2.52,45,3.539781
-1.65,16,3.556056
-0.36,14,3.570435
-1.2,1,3.571635
-1.2,1,3.572822
-1.86,23,3.596206
-1.41,8,3.604441
-1.26,3,3.607661
-1.89,24,3.63197
-1.47,10,3.642201
-1.35,6,3.648404
-1.29,4,3.652607
-1.62,15,3.667917
-1.2,1,3.669109
-1.23,2,3.671304
-1.2,1,3.6725
-0.12,6,3.678895
-1.56,13,3.692225
-1.89,24,3.7167
-1.23,2,3.718908
-1.2,1,3.720092
-0.24,10,3.730486
-1.53,12,3.742794
-1.26,3,3.745999
-0.18,8,3.754512
0.0,2,3.756754
-1.35,6,3.762943
-1.56,13,3.776212
-1.5,11,3.787482
-0.39,15,3.802827
-1.2,1,3.804025
-1.2,1,3.805211
