#{"t_start": 1775807092.8954906, "env_id": "None"}
r,l,t
-1.29,4,0.015244
-1.44,9,0.024633
-0.06,4,0.02895
-1.44,9,0.038235
-1.41,8,0.048983
-0.06,4,0.053433
-1.32,5,0.058713
-1.29,4,0.063055
-1.26,3,0.066299
-1.32,5,0.071636
-1.53,12,0.086027
-1.2,1,0.087229
-1.29,4,0.091434
-1.2,1,0.092613
-1.65,16,0.108801
-0.06,4,0.113065
-0.33,13,0.12847
-1.65,16,0.144705
-0.03,3,0.148054
-1.2,1,0.149262
-1.23,2,0.151465
-1.47,10,0.163627
-1.8,21,0.184764
-1.2,1,0.185955
-1.26,3,0.191051
-1.29,4,0.195275
-0.51,19,0.214604
-1.23,2,0.216825
-1.41,8,0.226886
-1.29,4,0.23109
-1.32,5,0.236262
-1.23,2,0.238449
-1.59,14,0.252666
0.81,16,0.270875
-1.32,5,0.276109
-1.23,2,0.278317
-0.03,3,0.281612
0.0,2,0.283877
-1.38,7,0.291087
-1.71,18,0.311178
-1.23,2,0.313365
-1.41,8,0.321576
-1.38,7,0.330592
-1.26,3,0.333796
-1.2,1,0.334982
-1.2,1,0.336178
-1.83,22,0.358369
-1.47,10,0.37041
0.0,2,0.372697
-1.71,18,0.390904
-1.23,2,0.393112
-1.23,2,0.395297
-1.23,2,0.399256
-1.38,7,0.406476
-1.23,2,0.408717
-1.59,14,0.422976
-0.63,23,0.448131
-1.2,1,0.449323
-1.2,1,0.450508
-1.2,1,0.451691
-1.41,8,0.459959
-1.23,2,0.462185
-1.23,2,0.464387
-1.26,3,0.469692
-1.32,5,0.475013
-1.2,1,0.476229
-0.03,3,0.479681
-1.2,1,0.480883
-1.26,3,0.484178
-1.2,1,0.485371
-1.65,16,0.501821
-1.23,2,0.50604
-1.29,4,0.510248
-1.41,8,0.518453
-0.54,20,0.540743
-0.03,3,0.544136
-1.23,2,0.54633
-1.2,1,0.54752
-1.29,4,0.551752
-1.29,4,0.555958
-1.5,11,0.567264
-1.29,4,0.571461
-1.32,5,0.578484
-1.26,3,0.581682
-1.5,11,0.592847
-1.2,1,0.594045
-1.23,2,0.59623
-1.23,2,0.598427
-1.2,1,0.599624
-1.47,10,0.611646
-1.23,2,0.613844
-1.29,4,0.618051
-1.5,11,0.629282
-1.23,2,0.631487
-1.26,3,0.634664
-1.23,2,0.636851
-1.32,5,0.642051
-1.2,1,0.643251
-1.44,9,0.654311
-1.23,2,0.65649
-1.29,4,0.660696
-1.2,1,0.661892
-1.53,12,0.674136
-1.35,6,0.682183
-1.26,3,0.685399
-1.23,2,0.687594
-1.53,12,0.699834
-1.35,6,0.706014
-1.23,2,0.708219
-1.2,1,0.709401
-1.2,1,0.710588
-1.26,3,0.713801
1.02,9,0.724998
-1.29,4,0.729218
-1.56,13,0.742424
-1.74,19,0.763462
0.0,2,0.765744
-1.41,8,0.773944
-1.2,1,0.775139
-1.62,15,0.792178
-1.38,7,0.799381
-1.41,8,0.807575
-1.41,8,0.815768
-1.29,4,0.821754
-1.92,25,0.847011
-1.68,17,0.866065
-1.35,6,0.872293
-1.41,8,0.880502
-2.04,29,0.91158
-1.23,2,0.913781
-1.5,11,0.92682
-1.2,1,0.92802
-1.2,1,0.929212
-1.26,3,0.932393
-0.12,6,0.938704
-1.29,4,0.942906
-1.2,1,0.944109
-1.41,8,0.952349
-1.2,1,0.953547
-1.44,9,0.964545
-1.98,27,0.993631
-1.44,9,1.00283
-1.29,4,1.007012
-1.47,10,1.017238
-1.38,7,1.024409
-0.27,11,1.037633
-1.29,4,1.041834
-1.65,16,1.058293
-1.35,6,1.066389
