#{"t_start": 1775806260.1414297, "env_id": "None"}
r,l,t
-0.45,17,0.020365
-1.2,1,0.021189
-1.2,1,0.021963
-1.89,24,0.036999
-1.2,1,0.037862
-1.26,3,0.039922
-1.26,3,0.041956
-1.35,6,0.045786
-1.29,4,0.04841
-1.41,8,0.053391
-1.2,1,0.054222
-1.26,3,0.056186
-1.59,14,0.065067
-1.8,21,0.078081
-1.44,9,0.083658
-1.26,3,0.085664
-1.38,7,0.090103
-1.71,18,0.10112
-1.2,1,0.10193
-1.2,1,0.10271
-1.92,25,0.118142
-1.2,1,0.118915
-1.2,1,0.119742
-1.23,2,0.121105
-0.09,5,0.124451
-1.32,5,0.12766
-1.26,3,0.129641
-1.8,21,0.142522
-0.06,4,0.145276
-1.23,2,0.146646
-1.2,1,0.147403
-1.38,7,0.151828
-1.2,1,0.15263
-1.23,2,0.154059
-1.2,1,0.154821
-1.35,6,0.158636
-0.45,17,0.169151
-0.15,7,0.173656
-1.2,1,0.174438
-1.2,1,0.175199
-1.35,6,0.179075
-1.41,8,0.184061
-1.2,1,0.184838
-1.23,2,0.186207
-1.2,1,0.187063
-0.42,16,0.196919
-1.2,1,0.197701
-0.18,8,0.202813
-1.2,1,0.203647
-1.26,3,0.205675
-1.26,3,0.207672
-1.26,3,0.20964
0.0,2,0.2112
-1.26,3,0.213213
-1.35,6,0.217046
-1.23,2,0.218449
-1.56,13,0.226478
-0.3,12,0.234129
-1.2,1,0.2349
-1.2,1,0.235664
-1.32,5,0.238958
-1.26,3,0.240923
-1.2,1,0.241754
-1.35,6,0.245531
-1.2,1,0.246344
-1.53,12,0.25372
0.0,2,0.255223
-1.23,2,0.256602
-0.45,17,0.267235
-0.27,11,0.274071
-1.23,2,0.275493
-1.2,1,0.276275
-1.32,5,0.279503
-1.2,1,0.280311
-1.26,3,0.282281
-1.41,8,0.287258
-0.21,9,0.293248
-1.38,7,0.297573
-0.3,12,0.304939
-1.38,7,0.30933
-1.23,2,0.310803
-0.03,3,0.312829
-1.32,5,0.31607
-1.23,2,0.317425
-1.38,7,0.32187
-1.41,8,0.326867
-1.35,6,0.330655
-1.2,1,0.331484
-1.2,1,0.332313
-1.5,11,0.339154
-1.44,9,0.344733
-1.26,3,0.346756
-1.23,2,0.348166
-1.2,1,0.348944
-1.29,4,0.351508
-1.2,1,0.352328
-1.23,2,0.353737
-1.23,2,0.355151
-1.53,12,0.362592
-1.26,3,0.364554
-1.8,21,0.377388
-1.23,2,0.378759
-1.23,2,0.38019
-0.12,6,0.384145
-1.2,1,0.384964
-1.23,2,0.386373
-1.35,6,0.390156
-1.5,11,0.396955
-1.47,10,0.403183
-1.65,16,0.412967
-1.23,2,0.414344
-2.88,57,0.448623
-1.47,10,0.454903
